date,Wholesale and Retail Trade,Manufacturing,Leisure and hospitality,Business services,Construction,Education and Health,Government,Finance,Self-employed,Other,Transportation and Utilities,Information,Agriculture,Mining and Extraction
2000-01-01,1000,734,782,655,745,353,430,228,239,274,236,125,154,19
2000-02-01,1023,694,779,587,812,349,409,240,262,232,223,112,173,25
2000-03-01,983,739,789,623,669,381,311,226,213,247,192,140,152,17
2000-04-01,793,736,658,517,447,329,269,197,218,240,191,95,135,20
2000-05-01,821,685,675,561,397,423,370,195,206,254,190,131,73,27
2000-06-01,837,621,833,545,389,452,603,216,188,225,183,102,109,13
2000-07-01,792,708,786,636,384,478,545,190,222,202,228,144,77,16
2000-08-01,853,685,675,584,446,450,583,213,186,187,198,143,110,23
2000-09-01,791,667,636,559,386,398,408,187,213,220,231,130,124,25
2000-10-01,739,693,691,504,417,339,391,224,226,161,153,96,113,39
2000-11-01,701,672,694,547,482,351,384,184,273,217,129,117,192,11
2000-12-01,715,653,639,564,580,293,365,200,178,167,168,151,196,20
2001-01-01,908,911,806,734,836,428,463,232,194,197,194,161,188,11
2001-02-01,990,902,821,724,826,423,298,235,209,243,189,109,193,27
2001-03-01,1037,954,817,652,683,456,355,211,181,200,193,148,267,14
2001-04-01,820,855,744,655,596,341,369,232,216,220,232,148,140,24
2001-05-01,875,903,731,652,478,390,361,191,206,172,178,164,109,34
2001-06-01,955,956,821,694,443,476,525,249,187,246,242,163,130,26
2001-07-01,833,1054,813,731,447,513,548,289,191,228,236,206,113,17
2001-08-01,928,1023,767,790,522,595,540,256,243,241,226,210,141,18
2001-09-01,936,996,900,810,489,455,438,268,256,225,214,219,101,23
2001-10-01,941,1065,903,910,535,486,429,281,247,239,321,233,118,32
2001-11-01,1046,1108,935,946,670,516,420,320,234,256,302,241,145,20
2001-12-01,1074,1172,938,921,785,483,419,258,249,277,310,275,192,27
2002-01-01,1212,1377,947,1120,1211,586,486,267,263,304,368,263,195,33
2002-02-01,1264,1296,973,973,1060,590,508,318,250,339,331,279,187,35
2002-03-01,1269,1367,976,964,1009,540,477,287,217,314,313,266,269,28
2002-04-01,1222,1322,953,951,855,493,447,292,255,268,280,257,151,33
2002-05-01,1138,1194,1022,983,626,533,484,340,264,264,257,260,89,25
2002-06-01,1240,1187,1034,1079,593,638,561,373,246,335,274,255,89,35
2002-07-01,1132,1185,999,1075,594,671,645,345,249,356,270,264,114,19
2002-08-01,1170,1108,884,926,654,660,596,343,271,353,221,270,125,32
2002-09-01,1171,1076,885,1007,615,562,530,299,266,281,235,231,92,42
2002-10-01,1212,1046,956,962,680,517,499,312,275,272,262,211,97,36
2002-11-01,1242,1115,978,1029,758,493,468,337,297,284,233,220,137,32
2002-12-01,1150,1188,922,1038,941,558,446,322,327,241,243,255,120,45
2003-01-01,1342,1302,1049,1112,1196,559,571,327,324,304,331,243,159,54
2003-02-01,1238,1229,1145,1140,1173,576,483,310,304,331,316,321,172,41
2003-03-01,1179,1222,1035,1190,987,518,526,357,279,370,319,267,161,46
2003-04-01,1201,1199,986,1076,772,611,440,323,248,331,274,268,154,41
2003-05-01,1247,1150,955,1105,715,618,478,320,271,339,260,251,133,40
2003-06-01,1434,1232,1048,1092,710,769,704,358,295,359,300,239,94,36
2003-07-01,1387,1193,1020,1021,677,697,749,284,270,405,289,224,113,43
2003-08-01,1161,1186,1050,881,650,760,745,342,302,373,255,224,173,20
2003-09-01,1229,1175,978,975,681,649,556,305,287,338,255,248,98,25
2003-10-01,1189,1041,933,1014,651,639,500,303,338,378,260,182,136,31
2003-11-01,1156,1034,990,948,690,662,542,311,308,357,275,257,148,34
2003-12-01,1081,1025,885,948,813,620,516,283,299,278,267,224,137,32
2004-01-01,1389,1110,1097,1070,994,662,511,403,302,322,243,236,184,31
2004-02-01,1369,1094,987,964,1039,608,490,363,260,366,291,194,168,24
2004-03-01,1386,1083,1039,999,1011,584,530,343,260,366,284,216,153,22
2004-04-01,1248,1004,925,752,849,589,433,312,242,347,239,168,107,34
2004-05-01,1183,966,977,819,665,570,468,302,287,310,230,190,99,22
2004-06-01,1182,957,1189,814,668,769,580,335,306,326,227,172,106,27
2004-07-01,1163,1019,965,790,610,725,741,307,291,346,231,174,140,28
2004-08-01,1079,840,1010,845,563,647,676,312,324,341,236,191,103,10
2004-09-01,1127,852,854,750,629,593,568,374,362,301,208,178,88,8
2004-10-01,1138,884,853,781,635,526,561,358,301,300,219,185,102,15
2004-11-01,1045,905,916,872,695,570,514,290,353,294,217,187,131,20
2004-12-01,1058,872,850,875,870,562,499,290,341,276,204,173,165,16
2005-01-01,1302,889,993,958,1079,613,555,252,346,290,276,168,153,29
2005-02-01,1301,889,1008,916,1150,619,472,301,363,325,245,204,107,25
2005-03-01,1173,879,967,807,961,614,468,261,312,308,267,177,139,32
2005-04-01,1131,793,882,714,693,591,478,255,273,306,257,178,84,19
2005-05-01,1145,743,944,730,567,648,453,288,299,314,223,145,66,16
2005-06-01,1197,743,950,743,559,667,681,307,268,291,247,160,76,25
2005-07-01,1194,883,929,804,509,635,683,309,282,274,222,142,69,22
2005-08-01,1130,767,844,728,561,644,664,300,249,306,187,156,100,12
2005-09-01,1038,775,842,862,572,658,568,260,282,307,211,168,127,12
2005-10-01,1050,800,796,748,519,628,502,255,255,319,251,162,85,2
2005-11-01,1013,823,966,711,564,677,494,268,319,300,199,172,118,18
2005-12-01,968,757,930,788,813,529,393,204,327,269,202,128,127,23
2006-01-01,1203,778,910,825,868,593,457,233,341,308,287,105,140,26
2006-02-01,1141,821,1040,841,836,528,472,268,332,281,260,119,139,25
2006-03-01,1022,701,917,824,820,563,461,298,300,292,263,116,117,14
2006-04-01,972,745,882,644,674,558,414,293,334,266,272,132,81,17
2006-05-01,1025,680,830,695,647,543,429,289,251,265,226,158,79,20
2006-06-01,1085,635,942,753,569,617,578,299,245,265,225,114,35,31
2006-07-01,1083,736,867,735,633,659,659,329,291,305,237,103,55,25
2006-08-01,977,680,855,681,618,611,595,263,306,341,217,132,76,32
2006-09-01,1008,632,810,736,586,576,396,235,299,310,183,170,78,14
2006-10-01,972,618,795,768,456,531,424,211,275,268,206,116,77,15
2006-11-01,1018,702,836,658,618,536,400,229,257,306,183,137,125,22
2006-12-01,965,660,701,791,725,502,395,227,287,306,190,108,139,25
2007-01-01,1166,752,911,885,922,563,476,233,376,275,248,143,128,35
2007-02-01,1045,774,879,825,1086,489,405,295,300,257,251,139,127,33
2007-03-01,896,742,845,775,924,495,419,252,311,222,249,109,123,24
2007-04-01,872,749,822,689,853,555,408,231,240,224,188,77,67,17
2007-05-01,795,651,831,743,676,622,428,281,276,242,216,110,64,22
2007-06-01,979,653,917,722,600,653,572,303,258,256,242,114,59,33
2007-07-01,1089,621,920,743,617,665,704,307,324,243,309,112,40,33
2007-08-01,1028,596,877,683,558,648,695,371,315,239,205,140,54,33
2007-09-01,1027,673,892,655,596,630,525,316,304,257,224,124,53,25
2007-10-01,907,729,911,675,641,534,492,307,338,182,218,120,47,9
2007-11-01,893,762,986,679,645,526,482,261,336,255,242,132,80,16
2007-12-01,1009,772,961,803,968,521,451,315,326,235,210,125,96,24
2008-01-01,1120,837,1176,893,1099,576,471,285,338,264,271,169,113,28
2008-02-01,1007,820,1056,866,1118,562,372,323,340,313,289,193,135,16
2008-03-01,992,831,944,876,1170,609,425,323,346,283,267,155,175,28
2008-04-01,919,796,874,736,1057,551,373,324,338,251,245,143,108,28
2008-05-01,1049,879,1074,829,809,619,461,361,366,275,269,170,94,28
2008-06-01,1160,862,1154,890,785,669,654,337,364,322,329,157,86,28
2008-07-01,1329,908,1172,866,783,776,770,350,345,352,359,141,125,13
2008-08-01,1366,960,1122,961,814,844,721,409,378,412,309,144,111,17
2008-09-01,1277,984,1029,951,970,835,573,380,414,374,337,166,84,25
2008-10-01,1313,1007,1126,1052,1078,797,552,434,396,334,316,168,97,15
2008-11-01,1397,1144,1283,992,1237,748,527,494,411,434,331,173,119,32
2008-12-01,1535,1315,1210,1147,1438,791,511,540,559,367,421,219,229,46
2009-01-01,1794,1711,1487,1445,1744,792,652,571,659,431,522,232,245,59
2009-02-01,1847,1822,1477,1512,2025,847,563,637,586,453,563,224,251,63
2009-03-01,1852,1912,1484,1597,1979,931,598,639,625,377,558,252,241,105
2009-04-01,1833,1968,1322,1448,1737,964,575,561,488,403,541,320,176,125
2009-05-01,1835,2010,1599,1514,1768,1005,702,536,530,476,506,303,136,98
2009-06-01,1863,2010,1688,1580,1601,1267,991,513,472,557,499,347,182,100
2009-07-01,1854,1988,1600,1531,1687,1269,1129,570,552,490,511,373,180,95
2009-08-01,1794,1866,1636,1560,1542,1239,1118,566,569,528,547,358,195,93
2009-09-01,1809,1876,1469,1596,1594,1257,928,657,636,462,538,362,150,76
2009-10-01,1919,1884,1604,1488,1744,1280,785,646,610,541,480,261,166,84
2009-11-01,1879,1882,1524,1514,1780,1168,748,619,592,491,493,243,180,96
2009-12-01,1851,1747,1624,1486,2044,1183,797,665,609,513,539,256,292,89
2010-01-01,2154,1918,1804,1614,2194,1175,948,623,730,609,657,313,318,68
2010-02-01,2071,1814,1597,1740,2440,1200,880,708,680,603,591,300,285,79
